,Country,Region,Year,Happiness Rank,Happiness Score,upperwhisker,lowerwhisker,Economy (GDP per Capita),Family/Social Status,Health (Life Expectancy),freedom to make life choices,Generosity,Perceptions of corruption,Dystopia Residual,Number of Records,ONE,COUNT OF OUTER CIRCLE,lat,long
0,Switzerland,Western Europe,2015,1,7.587000000000001,7.655220000000001,7.5187800000000005,1.3965100000000001,1.34951,0.9414299999999999,0.66557,0.29678000000000004,0.41978000000000004,2.5173799999999997,1,1,158,46.7794,8.0329
1,Iceland,Western Europe,2015,2,7.561,7.65868,7.4633199999999995,1.3023200000000001,1.4022299999999999,0.94784,0.6287699999999999,0.4363,0.14145,2.70201,1,1,158,64.82600000000001,-18.417
2,Denmark,Western Europe,2015,3,7.527,7.59356,7.46044,1.32548,1.36058,0.87464,0.6493800000000001,0.34139,0.48357,2.4920400000000003,1,1,158,56.113,9.096
3,Norway,Western Europe,2015,4,7.522,7.599600000000001,7.4444,1.459,1.33095,0.88521,0.66973,0.34699,0.36503,2.4653099999999997,1,1,158,61.3701,9.3031
4,Canada,North America,2015,5,7.4270000000000005,7.498060000000001,7.35594,1.32629,1.32261,0.9056299999999999,0.63297,0.45811,0.32957,2.4517599999999997,1,1,158,59.2067,-111.1937
5,Finland,Western Europe,2015,6,7.406000000000001,7.468800000000001,7.3432,1.29025,1.31826,0.8891100000000001,0.64169,0.23351,0.41372,2.61955,1,1,158,62.716,26.191999999999997
6,Netherlands,Western Europe,2015,7,7.377999999999999,7.433979999999999,7.322019999999999,1.32944,1.28017,0.89284,0.6157600000000001,0.4761,0.31814000000000003,2.4657,1,1,158,52.1704,5.0102
7,Sweden,Western Europe,2015,8,7.364,7.42714,7.30086,1.33171,1.2890700000000002,0.9108700000000001,0.6598,0.36262,0.43843999999999994,2.3711900000000004,1,1,158,66.2188,19.0
8,New Zealand,Australia and New Zealand,2015,9,7.2860000000000005,7.353420000000001,7.21858,1.2501799999999998,1.3196700000000001,0.9083700000000001,0.6393800000000001,0.47501000000000004,0.42922,2.26425,1,1,158,-42.558,172.377
9,Australia,Australia and New Zealand,2015,10,7.284,7.36566,7.2023399999999995,1.33358,1.30923,0.93156,0.6512399999999999,0.43562,0.35636999999999996,2.26646,1,1,158,-24.578000000000003,133.582
10,Israel,Middle East and Northern Africa,2015,11,7.278,7.3473999999999995,7.2086,1.2285700000000002,1.22393,0.9138700000000001,0.41318999999999995,0.33171999999999996,0.07785,3.08854,1,1,158,30.991999999999997,34.834
11,Costa Rica,Latin America and Caribbean,2015,12,7.226,7.31508,7.13692,0.95578,1.2378799999999999,0.8602700000000001,0.63376,0.25497,0.10583,3.17728,1,1,158,10.126,-84.075
12,Austria,Western Europe,2015,13,7.2,7.2750200000000005,7.12498,1.33723,1.29704,0.8904200000000001,0.62433,0.33088,0.18675999999999998,2.5332,1,1,158,47.65,14.705
13,Mexico,Latin America and Caribbean,2015,14,7.187,7.27052,7.10348,1.02054,0.91451,0.8144399999999999,0.48181,0.14074,0.21311999999999998,3.6021400000000003,1,1,158,22.925,-101.68
14,United States,North America,2015,15,7.119,7.19578,7.0422199999999995,1.3945100000000001,1.24711,0.86179,0.54604,0.40105,0.1589,2.51011,1,1,158,40.0792,-98.8164
15,Brazil,Latin America and Caribbean,2015,16,6.983,7.06452,6.901479999999999,0.98124,1.2328700000000001,0.69702,0.49049,0.14574,0.17521,3.26001,1,1,158,-11.694,-48.978
16,Luxembourg,Western Europe,2015,17,6.946000000000001,7.015980000000001,6.8760200000000005,1.5639100000000001,1.21963,0.91894,0.61583,0.28034000000000003,0.37798000000000004,1.9696099999999999,1,1,158,49.67100000000001,6.1129999999999995
17,Ireland,Western Europe,2015,18,6.94,7.013520000000001,6.86648,1.33596,1.36948,0.89533,0.6177699999999999,0.45901000000000003,0.28703,1.9757,1,1,158,53.214,-7.587999999999999
18,Belgium,Western Europe,2015,19,6.937,7.008900000000001,6.8651,1.30782,1.28566,0.8966700000000001,0.5845,0.2225,0.2254,2.4148400000000003,1,1,158,50.6745,4.4588
19,United Arab Emirates,Middle East and Northern Africa,2015,20,6.901,6.97558,6.82642,1.42727,1.12575,0.80925,0.64157,0.26428,0.38583,2.24743,1,1,158,23.9299,53.9031
20,United Kingdom,Western Europe,2015,21,6.867000000000001,6.904320000000001,6.829680000000001,1.26637,1.28548,0.90943,0.59625,0.51912,0.32066999999999996,1.9699400000000002,1,1,158,52.288999999999994,-1.2590000000000001
21,Oman,Middle East and Northern Africa,2015,22,6.853,6.9597,6.7463,1.36011,1.08182,0.76276,0.63274,0.21541999999999997,0.32524000000000003,2.4748900000000003,1,1,158,19.85,56.25
22,Venezuela,Latin America and Caribbean,2015,23,6.81,6.93952,6.680479999999999,1.04424,1.25596,0.7205199999999999,0.42908,0.058410000000000004,0.11069000000000001,3.1913099999999996,1,1,158,6.983,-64.58800000000001
23,Singapore,Southeast Asia,2015,24,6.797999999999999,6.873599999999999,6.7223999999999995,1.52186,1.02,1.02525,0.54252,0.31105,0.4921,1.8850099999999999,1,1,158,1.3389,103.8297
24,Panama,Latin America and Caribbean,2015,25,6.7860000000000005,6.884200000000001,6.6878,1.0635299999999999,1.1985,0.79661,0.5421,0.24434,0.0927,2.84848,1,1,158,8.347999999999999,-81.005
25,Germany,Western Europe,2015,26,6.75,6.78696,6.71304,1.32792,1.2993700000000001,0.89186,0.6147699999999999,0.28214,0.21843,2.1156900000000003,1,1,158,51.3819,9.9877
26,Chile,Latin America and Caribbean,2015,27,6.67,6.786,6.554,1.10715,1.12447,0.85857,0.44132,0.33363000000000004,0.12869,2.67585,1,1,158,-23.176,-69.20100000000001
27,Qatar,Middle East and Northern Africa,2015,28,6.611000000000001,6.736140000000001,6.485860000000001,1.69042,1.0786,0.79733,0.6404,0.32573,0.52208,1.55674,1,1,158,25.3174,51.1522
28,France,Western Europe,2015,29,6.575,6.64524,6.50476,1.27778,1.2603799999999998,0.9457899999999999,0.55011,0.12332,0.20646,2.21126,1,1,158,46.656000000000006,2.543
29,Argentina,Latin America and Caribbean,2015,30,6.574,6.66624,6.4817599999999995,1.05351,1.24823,0.78723,0.44974,0.11450999999999999,0.08484,2.8360000000000003,1,1,158,-33.166,-64.31
30,Czech Republic,Central and Eastern Europe,2015,31,6.505,6.58836,6.42164,1.17898,1.20643,0.84483,0.46363999999999994,0.10686,0.02652,2.67782,1,1,158,49.848,15.2812
31,Uruguay,Latin America and Caribbean,2015,32,6.485,6.57578,6.394220000000001,1.06166,1.2089,0.8116,0.6036199999999999,0.2324,0.24558000000000002,2.3214200000000003,1,1,158,-32.948,-56.248999999999995
32,Colombia,Latin America and Caribbean,2015,33,6.477,6.57802,6.37598,0.91861,1.2401799999999998,0.69077,0.53466,0.18400999999999998,0.0512,2.85737,1,1,158,3.7939999999999996,-73.60600000000001
